IDENTIFICADOR;VALOR1;VALOR2;VALOR3;VALOR4;VALOR5
91157096;DICIEMBRE.wav;INTERNET.wav;8226;NOVIEMBRE.wav;
94228187;DICIEMBRE.wav;DUO_TO_BA.wav;9145;NOVIEMBRE.wav;
80141338;DICIEMBRE.wav;TELEVISION.wav;6948;NOVIEMBRE.wav;
8307332;DICIEMBRE.wav;INTERNET.wav;14900;NOVIEMBRE.wav;
71785847;DICIEMBRE.wav;DUO_TV_BA.wav;11941;NOVIEMBRE.wav;
70904804;DICIEMBRE.wav;TELEVISION.wav;2023;NOVIEMBRE.wav;
71278026;DICIEMBRE.wav;TELEVISION.wav;7416;NOVIEMBRE.wav;
71292407;DICIEMBRE.wav;TELEVISION.wav;7527;NOVIEMBRE.wav;
71635385;DICIEMBRE.wav;INTERNET.wav;90000;NOVIEMBRE.wav;
71665528;DICIEMBRE.wav;TELEVISION.wav;6068;NOVIEMBRE.wav;
43877050;DICIEMBRE.wav;INTERNET.wav;14900;NOVIEMBRE.wav;
43877539;DICIEMBRE.wav;INTERNET.wav;14900;NOVIEMBRE.wav;
43106622;DICIEMBRE.wav;TELEVISION.wav;4719;NOVIEMBRE.wav;
43168537;DICIEMBRE.wav;TELEVISION.wav;50000;NOVIEMBRE.wav;
28003926;DICIEMBRE.wav;TRIO.wav;15357;NOVIEMBRE.wav;
32150526;DICIEMBRE.wav;TELEVISION.wav;2023;NOVIEMBRE.wav;
21341412;DICIEMBRE.wav;DUO_TV_BA.wav;23694;NOVIEMBRE.wav;
21653981;DICIEMBRE.wav;TELEVISION.wav;4302;NOVIEMBRE.wav;
43678929;DICIEMBRE.wav;TELEVISION.wav;6971;NOVIEMBRE.wav;
10071131;DICIEMBRE.wav;TELEFONIA.wav;4392;NOVIEMBRE.wav;
1036656162;DICIEMBRE.wav;TRIO.wav;9155;NOVIEMBRE.wav;
1036659861;DICIEMBRE.wav;TELEVISION.wav;3486;NOVIEMBRE.wav;
1036669894;DICIEMBRE.wav;INTERNET.wav;5878;NOVIEMBRE.wav;
1036946364;DICIEMBRE.wav;DUO_TO_BA.wav;21244;NOVIEMBRE.wav;
1000646462;DICIEMBRE.wav;INTERNET.wav;5671;NOVIEMBRE.wav;
1000653772;DICIEMBRE.wav;DUO_TO_BA.wav;13278;NOVIEMBRE.wav;
1000920145;DICIEMBRE.wav;TRIO.wav;47126;NOVIEMBRE.wav;
1011109376;DICIEMBRE.wav;INTERNET.wav;15089;NOVIEMBRE.wav;
1014233075;DICIEMBRE.wav;TELEFONIA.wav;2903;NOVIEMBRE.wav;
1037646617;DICIEMBRE.wav;INTERNET.wav;39048;NOVIEMBRE.wav;
1047474324;DICIEMBRE.wav;DUO_TO_BA.wav;14605;NOVIEMBRE.wav;
1037655246;DICIEMBRE.wav;DUO_TV_BA.wav;31004;NOVIEMBRE.wav;
1038097072;DICIEMBRE.wav;TELEFONIA.wav;3485;NOVIEMBRE.wav;
1038768788;DICIEMBRE.wav;INTERNET.wav;17013;NOVIEMBRE.wav;
1039462738;DICIEMBRE.wav;DUO_TV_BA.wav;34178;NOVIEMBRE.wav;
